generation,best_fitness,avg_fitness,std_fitness
1,0.77782,-1.00757,3.33452
2,1.04625,-0.12409,2.08807
3,1.04625,0.21112,1.50929
4,1.04625,0.62743,0.35813
5,1.05087,0.79851,0.35129
6,1.09845,0.97923,0.23834
7,1.09856,1.03819,0.05291
8,1.09856,0.99777,0.26243
9,1.10051,1.02496,0.14525
10,1.10678,1.01946,0.17974
11,1.10678,1.07892,0.0408
12,1.10729,1.0877,0.03632
13,1.10747,1.08034,0.06887
14,1.10747,1.03658,0.20261
15,1.10747,1.0834,0.08434
16,1.10752,1.10079,0.02694
17,1.10752,1.09391,0.07084
18,1.10758,1.09492,0.07076
19,1.10758,1.10436,0.02201
20,1.10759,1.08141,0.08228
21,1.10763,1.09059,0.07138
22,1.10764,1.06753,0.22683
23,1.10764,1.09247,0.05958
24,1.10765,1.071,0.11269
25,1.10765,1.10259,0.02678
26,1.10765,1.09983,0.05246
27,1.10766,1.08815,0.09547
28,1.10766,1.05531,0.29818
29,1.10766,1.09495,0.03867
30,1.10767,1.08879,0.07528
